1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
,,,,,,,View Your Core Investment Calculation, View Your Per Student Investment Calculation , View Your Additional Investment Calculation ,,,View Your Regionalization Factor,,,,View Your Local Capacity Target Calculation,,,,,,,,,,,,,,,,Additional Calculations for Tier 2 & 3 Step 2 ,,,,,,,,,,,,,,,,,
,,,,,,,Stage 1: Determining Base Adequacy Level,,,,,,,,,Stage 2: Determining Percent of Adequacy,,,,,Determining Distribution Tier,,,,,Stage 3: Determining Tier Funding,,,,,,,,,,,,,Calculating Total State Contribution ,,,,,,,,,,
District ID,District Name,County,Organization Type,,Total ASE,, Core Investment Cost ," Per Student Investment Cost
(Subject to CWI) ", Additional Investments Cost ," Per Student Investment Cost
(Not Subject to CWI) ", Adequacy Target ,"Regionalization Factor
(CWI)"," Final Adequacy Target
(Adjusted for Regionalization Factor) "," Final Adequacy Target Per Student
(Adjusted for Regionalization Factor) ",,Adjusted Local Capacity Target,Adjusted Base Funding Minimum,Final Resources,Final Percent of Adequacy,,Adequacy Funding Gap,Final Adequacy Level ,Tier Assignment,Flag Tier 1,,Tier 1 Funding Gap,Tier 1 Funding,Tier 2 Funding Gap,"Tier 2 Funding
Step 1","Tier 2 Funding
Step 2","Tier 2 Funding 
Step 3",Tier 1 Per Student,Original Tier 2 Per Student,Final Tier 2 Per Student,Tier 3 Per Student,Tier 4 Per Student, Tier 3 Funding , Tier 4 Funding ," Calculated New FY 23 Funding
(Tier Funding)",FY 23 Tier Funding Per Pupil,Gross Base Funding Minimum,Total Gross FY 23 State Contribution,FY 22 EBF Adjustments,Total NET FY 23 State Contribution,,Rep No.,Senator No.,,Per Pupil Gap to Full Funding
0107501202600,WESTERN CUSD 12,PIKE,Unit,,  463.96 ,,"  2,859,269.07 ","  419,498.71 ","  924,761.35 ","  2,453,809.81 ","  6,657,338.94 ",0.9,"  6,236,986.02 ","  13,442.93 ",,"  2,541,260.66 ","  2,140,114.83 ","  4,867,010.47 ",78.0%,,"  1,369,975.55 ",78%,2,0,,  -   ,  -   ,"  448,885.58 ","  28,204.20 ","  28,204.20 ",  -   , $ -   , $ 60.79 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  2,220,886.18 ","  2,220,886.18 ",,"  2,220,886.18 ",,100,50,,2953
0108600102600,WINCHESTER C U SCH DIST 1,SCOTT,Unit,,  550.28 ,,"  3,356,689.82 ","  497,546.66 ","  959,200.09 ","  2,873,085.49 ","  7,686,522.06 ",0.9,"  7,205,178.39 ","  13,093.65 ",,"  2,302,775.01 ","  2,871,969.46 ","  5,412,258.48 ",75.1%,,"  1,792,919.91 ",75%,2,0,,  -   ,  -   ,"  729,662.37 ","  45,845.85 ","  45,845.85 ",  -   , $ -   , $ 83.31 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  2,926,220.00 ","  2,926,220.00 ",,"  2,926,220.00 ",,100,50,,3258
0108600202600,SCOTT-MORGAN C U SCHOOL DIST 2,SCOTT,Unit,,  198.29 ,,"  1,225,640.43 ","  179,287.86 ","  396,498.51 ","  1,059,222.60 ","  2,860,649.40 ",0.9,"  2,680,506.71 ","  13,518.11 ",,"  981,766.23 ","  963,116.42 ","  2,090,113.22 ",78.0%,,"  590,393.49 ",78%,2,0,,  -   ,  -   ,"  207,105.26 ","  13,012.75 ","  13,012.75 ",  -   , $ -   , $ 65.62 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  999,105.82 ","  999,105.82 ",,"  999,105.82 ",,100,50,,2977
0300000000092,ALT SCH-BOND/EFFINGHAM/FAYETTE RO,FAYETTE,Regional,,  104.65 ,,"  685,573.79 ","  94,621.39 ","  190,485.60 ","  608,694.37 ","  1,579,375.15 ",0.9,"  1,482,307.06 ","  14,164.42 ",,"  148,230.70 ","  671,876.58 ","  820,107.28 ",55.3%,,"  662,199.78 ",55%,1,1,,"  264,670.44 ","  79,401.13 ","  391,111.15 ","  24,574.14 ","  24,574.14 ",  -   , $ 758.73 , $ 234.82 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  79,401.13 ",  758.73 ,"  671,876.58 ","  751,277.71 ",,"  751,277.71 ",,115,58,,6328
0300000000093,SAFE SCH-BOND/EFFINGHAM/FAYETTE R,FAYETTE,Regional,,  34.00 ,,"  188,715.44 ","  30,741.78 ","  60,659.07 ","  158,756.42 ","  438,872.71 ",0.9,"  410,861.07 ","  12,084.14 ",,"  41,086.10 ","  436,240.81 ","  477,326.91 ",116.2%,,"  (66,465.84)",116%,4,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ -   , $ 0.93 ,  -    ,  31.62 ,  31.61 ,  0.92 ,"  436,240.81 ","  436,272.42 ",,"  436,272.42 ",,107,54,,-1955
0300300102600,MULBERRY GROVE C U SCH DIST 1,BOND,Unit,,  344.55 ,,"  2,111,521.87 ","  311,531.77 ","  643,779.14 ","  1,815,770.41 ","  4,882,603.19 ",0.93035,"  4,668,998.28 ","  13,551.00 ",,"  1,317,400.78 ","  2,205,105.12 ","  3,644,590.38 ",78.1%,,"  1,024,407.90 ",78%,2,0,,  -   ,  -   ,"  400,792.55 ","  25,182.44 ","  25,182.44 ",  -   , $ -   , $ 73.09 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  2,243,748.45 ","  2,243,748.45 ",,"  2,243,748.45 ",,107,54,,2973
0300300202600,BOND CO C U SCHOOL DIST 2,BOND,Unit,,"  1,625.70 ",,"  9,914,712.90 ","  1,469,909.16 ","  2,832,942.14 ","  8,508,115.89 ","  22,725,680.09 ",0.93035,"  21,735,426.74 ","  13,369.88 ",,"  6,841,354.81 ","  7,870,948.88 ","  15,371,256.12 ",70.7%,,"  6,364,170.62 ",71%,1,1,,"  535,101.81 ","  160,530.54 ","  2,786,812.35 ","  175,099.88 ","  175,099.88 ",  -   , $ 98.75 , $ 107.71 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  160,530.54 ",  98.74 ,"  8,069,847.72 ","  8,230,378.26 ",,"  8,230,378.26 ",,107,54,,3915
0301100102600,MORRISONVILLE C U SCH DIST 1,CHRISTIAN,Unit,,  264.29 ,,"  1,616,182.39 ","  238,963.08 ","  467,563.83 ","  1,385,581.76 ","  3,708,291.06 ",0.9,"  3,476,020.12 ","  13,152.29 ",,"  2,199,625.53 ","  765,546.00 ","  3,096,141.77 ",89.1%,,"  379,878.35 ",89%,2,0,,  -   ,  -   ,"  11,851.87 ",  744.67 ,"  8,027.48 ",  -   , $ -   , $ 2.82 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  777,422.46 ","  777,422.46 ",,"  777,422.46 ",,95,48,,1437
0301100302600,TAYLORVILLE C U SCH DIST 3,CHRISTIAN,Unit,,"  2,208.21 ",,"  13,699,799.58 ","  1,996,597.23 ","  4,272,471.08 ","  11,795,673.97 ","  31,764,541.86 ",0.9,"  29,767,655.06 ","  13,480.44 ",,"  12,585,764.55 ","  7,964,583.16 ","  21,515,763.87 ",72.3%,,"  8,251,891.19 ",72%,1,1,,"  268,716.46 ","  80,614.94 ","  2,998,271.60 ","  188,386.20 ","  188,386.20 ",  -   , $ 36.51 , $ 85.31 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  80,614.93 ",  36.50 ,"  8,383,859.38 ","  8,464,474.31 ",,"  8,464,474.31 ",,95,48,,3737
0301100402600,EDINBURG C U SCH DIST 4,CHRISTIAN,Unit,,  224.94 ,,"  1,379,211.21 ","  203,383.99 ","  389,249.71 ","  1,181,911.61 ","  3,153,756.52 ",0.9,"  2,956,572.03 ","  13,143.82 ",,"  1,863,231.69 ","  563,712.74 ","  2,596,966.09 ",87.8%,,"  359,605.94 ",88%,2,0,,  -   ,  -   ,"  23,648.24 ","  1,485.86 ","  6,832.27 ",  -   , $ -   , $ 6.61 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  572,140.23 ","  572,140.23 ",,"  572,140.23 ",,96,48,,1599
